Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,66,2687,2067,1204,135,421,3,199,1232,0,1
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018,66,2687,2067,1204,135,421,3,199,1232,0,1
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting,66,2687,2067,1204,135,421,3,199,1232,0,1
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO,24,836,681,397,75,138,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\Builders,3,186,149,91,18,37,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\Properties,1,35,14,2,0,4,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\Readers,7,184,155,96,20,29,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\Readers\Interfaces,4,41,38,22,0,3,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\RecordIO,8,273,232,132,29,41,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\RecordIO\Interfaces,4,38,37,21,0,1,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\Writers,4,103,86,50,3,17,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\Writers\Interfaces,2,18,17,9,0,1,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\obj,0,0,0,0,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO_Tests,7,492,388,257,6,87,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO_Tests\Properties,1,35,14,2,0,4,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO_Tests\obj,0,0,0,0,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\FileIO_Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator,8,220,176,92,11,27,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\Interfaces,3,32,30,18,0,2,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\Properties,1,35,14,2,0,4,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\obj,0,0,0,0,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\RecordFileGenerator\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO,15,522,428,242,35,77,0,17,120,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO\Buffers,2,156,131,79,11,25,0,0,0,0,0
D:\visual studio 2015\Projects\CollageProjects\Struktury Baz Danych\Projekt1 - Sortowanie plików sekwencyjnych 2018\SequentialFileSorting\SequentialFileIO\Enums,2,17,17,4,0,0,0,0,0,0,0
